Id,WnvPresent
1,5.7348293e-06
2,2.8874206e-06
3,6.6315397e-06
4,3.252168e-10
5,2.8210362e-10
6,6.465084e-06
7,5.8928877e-06
8,0.99999964
9,5.4084097e-09
10,7.650479e-09
11,2.1132879e-08
12,1.181885e-11
13,2.7678011e-11
14,3.941578e-09
15,7.9484295e-09
16,0.9999882
17,2.9806915e-07
18,2.492735e-07
19,2.0587893e-06
20,4.445687e-10
21,1.07380826e-10
22,6.2326158e-06
23,4.977225e-07
24,0.9999994
25,2.0698481e-07
26,2.5147742e-07
27,1.0730795e-06
28,7.739697e-10
29,4.7822246e-10
30,3.3241251e-06
31,4.0214266e-07
32,0.99999845
33,8.5237406e-10
34,8.224907e-10
35,6.788882e-09
36,1.3119818e-13
37,2.0774501e-13
38,6.1917316e-09
39,1.3619159e-09
40,0.9999515
41,5.6230547e-08
42,3.5915686e-08
43,1.1188069e-07
44,1.4853176e-10
45,5.9095567e-12
46,9.144357e-07
47,5.8411214e-08
48,0.9999976
49,6.542737e-07
50,1.3206188e-06
51,7.977242e-07
52,8.256295e-10
53,1.7866392e-10
54,1.1014788e-06
55,8.459294e-07
56,0.99999714
57,2.3630129e-08
58,2.0934653e-08
59,3.5368707e-08
60,5.20167e-10
61,4.378047e-11
62,3.341788e-05
63,2.2504501e-08
64,1.0
65,1.3618457e-07
66,2.3759095e-07
67,1.5758038e-06
68,4.4432603e-11
69,2.4837729e-11
70,4.392155e-08
71,3.0593142e-07
72,0.99999964
73,4.1014303e-07
74,3.7095165e-07
75,1.5081464e-06
76,4.667401e-10
77,2.4408633e-10
78,4.1925973e-06
79,5.5947527e-07
80,0.99999917
81,1.9774652e-06
82,5.51673e-07
83,2.5019908e-06
84,3.6821206e-09
85,4.9839337e-09
86,3.0411354e-06
87,1.2084657e-06
88,0.99999976
89,1.5486409e-08
90,2.9087849e-08
91,9.160394e-08
92,4.7489157e-12
93,1.18928626e-11
94,3.1987785e-08
95,2.846882e-08
96,0.99999535
97,3.3079505e-05
98,7.8495095e-06
99,2.6844567e-05
100,9.581202e-09
101,1.922779e-09
102,2.5694928e-06
103,2.4666999e-05
104,1.0
105,3.7037856e-10
106,5.234045e-10
107,1.727366e-09
108,2.0076124e-13
109,7.73431e-14
110,4.831375e-07
111,6.5896016e-10
112,0.99999714
113,1.3630141e-06
114,8.7534113e-07
115,1.762147e-05
116,3.0733513e-11
117,6.633107e-10
118,1.2043327e-07
119,3.03848e-06
120,0.99999964
121,2.3481997e-08
122,1.7542376e-08
123,3.8980676e-08
124,1.0152926e-11
125,3.3661238e-12
126,3.3933584e-06
127,2.375263e-08
128,0.9999958
129,8.855144e-10
130,5.67429e-10
131,2.0063533e-09
132,2.0341815e-13
133,9.289034e-14
134,1.7227704e-08
135,8.6643964e-10
136,0.9999999
137,2.3330288e-06
138,3.795577e-06
139,1.5013577e-05
140,3.0480515e-10
141,7.8775203e-10
142,1.6572576e-06
143,5.582533e-06
144,0.9999962
145,6.8349895e-05
146,1.5893667e-05
147,0.00017830938
148,1.2303422e-08
149,1.0037685e-07
150,0.00010759572
151,5.53455e-05
152,0.99999976
153,5.910228e-07
154,3.625179e-07
155,5.6053655e-06
156,8.445057e-11
157,1.9154171e-10
158,5.902635e-07
159,8.4666954e-07
160,0.999997
161,1.2248933e-06
162,8.7641024e-07
163,6.0162124e-06
164,1.2430525e-10
165,2.033786e-09
166,1.1408739e-06
167,1.4720614e-06
168,0.9999957
169,1.22478605e-08
170,8.97417e-09
171,2.7320606e-08
172,4.0001896e-10
173,6.63453e-12
174,4.20847e-08
175,1.735716e-08
176,0.9999778
177,1.2456026e-08
178,1.7680975e-08
179,4.0573713e-08
180,3.5135928e-12
181,4.2279666e-11
182,2.1607686e-07
183,1.4173256e-08
184,0.9999943
185,3.0269985e-07
186,4.7797994e-07
