Id,WnvPresent
1,8.867986e-07
2,1.134694e-07
3,3.915747e-06
4,1.9947287e-11
5,2.732093e-11
6,1.2932594e-08
7,6.6278704e-07
8,0.99230814
9,2.2039631e-10
10,1.6003421e-10
11,1.2526304e-09
12,1.6826486e-14
13,2.3158838e-13
14,6.9384815e-10
15,2.826174e-10
16,0.90474224
17,6.161968e-07
18,1.9998274e-07
19,7.2607636e-06
20,6.811651e-11
21,5.54409e-11
22,1.5050758e-09
23,8.101074e-07
24,0.9809456
25,9.343134e-08
26,3.7952255e-08
27,8.177352e-07
28,6.295204e-12
29,7.974689e-12
30,1.2820653e-11
31,1.2142195e-07
32,0.6075122
33,6.605933e-11
34,2.179827e-11
35,5.017467e-10
36,4.6072617e-15
37,3.2743738e-15
38,4.101592e-11
39,5.4783914e-11
40,0.104614966
41,1.7832296e-08
42,3.0102392e-09
43,3.3217272e-08
44,8.582474e-13
45,4.661309e-13
46,1.3968373e-09
47,1.6409718e-08
48,0.80854505
49,2.6262773e-10
50,3.2262873e-10
51,2.4422615e-09
52,6.0891653e-15
53,1.6599047e-14
54,2.0136363e-10
55,4.2042778e-10
56,0.77076566
57,1.2816063e-10
58,6.4422287e-12
59,6.084788e-11
60,5.3618744e-15
61,8.336501e-15
62,2.3587783e-13
63,5.0561416e-11
64,0.32644477
65,3.863956e-09
66,5.139768e-09
67,4.7577913e-08
68,2.943907e-13
69,3.0901648e-13
70,1.5586353e-09
71,9.325682e-09
72,0.9704517
73,3.2168776e-07
74,3.6856434e-07
75,2.9293658e-06
76,2.1809665e-11
77,6.8946265e-11
78,6.1306736e-08
79,6.5332097e-07
80,0.9925052
81,9.916728e-09
82,4.0973114e-09
83,5.4247046e-08
84,1.9798341e-13
85,1.5296557e-12
86,2.0488557e-11
87,1.23563595e-08
88,0.3356846
89,3.166747e-10
90,1.8229898e-10
91,2.1625646e-09
92,3.2332725e-14
93,2.3211803e-14
94,4.0521413e-09
95,3.604831e-10
96,0.46858492
97,4.1472117e-06
98,9.483813e-07
99,6.733742e-06
100,1.851733e-10
101,9.829852e-10
102,1.0773256e-08
103,2.5913748e-06
104,0.31210065
105,3.466261e-11
106,3.0495793e-11
107,4.117168e-10
108,5.333702e-15
109,4.1398776e-14
110,1.8002697e-11
111,5.444723e-11
112,0.9211804
113,6.884984e-07
114,4.664771e-08
115,1.8248008e-06
116,7.5414786e-11
117,8.2661544e-11
118,5.4078937e-09
119,3.111462e-07
120,0.99270827
121,1.044245e-09
122,1.4279937e-10
123,1.0717381e-09
124,1.3269129e-13
125,1.3849626e-13
126,2.776336e-10
127,4.894894e-10
128,0.86021274
129,1.2615956e-09
130,1.6841643e-10
131,4.277042e-09
132,6.7563674e-13
133,4.2746432e-13
134,1.3330041e-12
135,7.3135836e-10
136,0.8611831
137,1.7507217e-07
138,5.1959347e-08
139,1.5391859e-06
140,2.0282203e-12
141,4.783059e-12
142,7.1060313e-10
143,2.57697e-07
144,0.83783627
145,1.5059207e-08
146,3.8894137e-09
147,3.0432483e-07
148,8.0302475e-12
149,4.205607e-11
150,4.887496e-10
151,2.0651685e-08
152,0.96673065
153,6.555153e-07
154,1.6007091e-07
155,8.011276e-06
156,6.1535554e-11
157,4.1344945e-11
158,3.8479097e-08
159,8.000305e-07
160,0.9761372
161,1.5616482e-06
162,5.0252773e-08
163,8.0154024e-07
164,3.997556e-11
165,3.766978e-11
166,3.3544275e-08
167,5.1614916e-07
168,0.9875146
169,3.956682e-12
170,5.713878e-13
171,2.0006309e-11
172,2.3492025e-16
173,1.1454303e-15
174,3.5152285e-12
175,2.1643397e-12
176,0.9685771
177,6.600483e-10
178,1.6989994e-10
179,1.0372344e-08
180,1.930773e-12
181,4.9334094e-13
182,1.7135074e-10
183,5.9066674e-10
184,0.19278912
185,1.3748678e-07
186,2.9893112e-08
187,6.6269735e-07
188,5.5252543e-12
189,7.655868e-12
190,6.784141e-10
191,1.0165405e-07
192,0.20270674
193,1.9582556e-06
194,2.3865215e-07
195,2.4523747e-06
196,6.9727826e-12
197,1.3711596e-11
198,1.4251673e-09
199,1.3704957e-06
200,0.98775417
201,1.008777e-09
202,3.9169049e-10
203,1.2043678e-08
204,1.07470355e-14
205,6.607561e-14
206,1.7954287e-10
207,9.846647e-10
208,0.9299987
209,1.4021973e-07
210,4.350799e-08
211,2.2991248e-06
212,6.8937816e-12
213,3.4980792e-12
214,3.2031118e-09
215,1.6601874e-07
216,0.7460696
217,4.8054172e-08
218,6.7198975e-08
219,1.4726118e-06
220,6.678264e-13
221,4.4534736e-12
222,1.234415e-09
223,1.1767339e-07
224,0.4364465
225,1.05496896e-10
226,1.1151404e-11
227,3.3441052e-11
228,9.955649e-14
229,9.378059e-15
230,2.1852105e-10
231,4.4334914e-11
232,0.057736684
233,3.93358e-09
234,5.0823394e-09
235,5.0178164e-07
236,5.172309e-13
237,5.3907155e-13
238,3.060822e-10
239,2.4242508e-08
240,0.43466395
241,8.479025e-09
242,4.835893e-10
243,6.3199695e-10
244,1.5742827e-12
245,3.7343405e-12
246,6.184664e-08
247,1.1598601e-09
248,0.18353842
249,9.30044e-09
250,7.051246e-09
251,2.738136e-07
252,2.1441172e-11
253,1.4161758e-10
254,6.9709344e-08
255,2.0948272e-08
256,0.99515224
257,4.2782225e-10
258,3.183413e-10
259,8.346231e-09
260,3.6589106e-14
261,1.8368775e-14
262,1.1657307e-09
263,8.420356e-10
264,0.97350466
265,4.5661013e-11
266,9.635874e-12
267,4.2380283e-10
268,1.2732259e-16
269,2.6565895e-15
270,5.222059e-10
271,4.3158477e-11
272,0.8819384
273,3.2406342e-09
274,5.838802e-09
275,2.3496922e-07
276,1.9294835e-13
277,9.968593e-13
278,1.861883e-10
279,1.4510862e-08
280,0.070386656
281,2.428307e-10
282,1.8623804e-10
283,1.8877664e-09
284,3.7386934e-13
285,1.201687e-13
286,4.8741486e-09
287,2.5266297e-10
288,0.48534092
289,2.9505506e-10
290,1.726847e-11
291,8.622106e-11
292,3.701751e-14
293,8.888626e-15
294,4.0424083e-12
295,6.437344e-11
296,0.97556794
297,2.7147635e-07
298,8.4323375e-08
299,2.6080554e-06
300,1.7999985e-11
301,1.4244593e-11
302,4.0215834e-08
303,3.561625e-07
304,0.9423792
305,8.9678736e-09
306,9.9950395e-09
307,2.0875746e-07
308,4.3540754e-13
309,3.8827665e-12
310,1.2588169e-09
311,3.0872744e-08
312,0.59073305
313,3.2055993e-09
314,2.82672e-09
315,1.8942343e-08
316,5.655376e-12
317,3.194236e-12
318,5.9010766e-08
319,3.93391e-09
320,0.8313364
321,4.9033696e-07
322,4.413064e-08
323,2.9882088e-07
324,1.3579277e-11
325,9.742098e-12
326,6.472759e-09
327,1.915933e-07
328,0.9888481
329,2.6917307e-12
330,2.8263115e-12
331,5.543857e-11
332,3.655407e-15
333,1.0581018e-15
334,1.456032e-08
335,3.9098694e-12
336,0.49044198
337,3.15011e-05
338,1.0618286e-06
339,7.3719875e-06
340,1.6441093e-10
341,6.7112443e-10
342,1.5922134e-07
343,5.7778075e-06
344,0.9804412
345,6.07829e-08
346,1.39889895e-08
347,1.18573354e-07
348,1.2234427e-13
349,2.499974e-12
350,6.0516515e-11
351,5.5630792e-08
352,0.53547347
353,4.51227e-10
354,1.4092132e-10
355,1.3250819e-09
356,3.7859036e-13
357,6.6212525e-13
358,4.7840903e-08
359,3.7192535e-10
360,0.998899
361,1.0663367e-05
362,7.607323e-07
363,9.392039e-06
364,5.4653143e-11
365,4.984378e-10
366,6.616952e-08
367,4.1675944e-06
368,0.99923074
369,7.55139e-09
370,1.5854171e-08
371,1.9640616e-07
372,8.407861e-12
373,3.18666e-12
374,5.5042076e-08
375,1.881649e-08
376,0.99789894
377,4.7166853e-07
378,6.8797925e-07
379,2.3639048e-05
380,5.0755435e-11
381,1.1698664e-10
382,3.0308411e-09
383,1.5736757e-06
384,0.83668983
385,1.6105467e-08
386,5.6414216e-09
387,1.4134523e-07
388,1.0007347e-11
389,2.080687e-12
390,5.3213416e-09
391,1.8164387e-08
392,0.93719304
393,2.8809342e-12
394,1.9539535e-12
395,4.3998624e-11
396,6.680649e-16
397,1.028733e-15
398,2.3411906e-09
399,4.9772382e-12
400,0.81572425
401,5.8638485e-12
402,1.1595974e-12
403,4.1034856e-11
404,1.5294433e-15
405,3.043472e-15
406,1.7960075e-10
407,5.7469992e-12
408,0.48541763
409,7.065479e-07
410,5.6616894e-08
411,2.0698137e-06
412,2.342946e-09
413,4.3774415e-09
414,0.00013391736
415,3.836855e-07
416,0.9992448
417,6.986978e-11
418,6.139976e-12
419,2.0471264e-10
420,7.333788e-16
421,8.784903e-15
422,2.30923e-11
423,4.076844e-11
424,0.1861625
425,1.7165964e-09
426,1.1338653e-09
427,1.0341546e-08
428,3.5370442e-13
429,2.199634e-13
430,3.6656694e-08
431,2.0556021e-09
432,0.3259218
433,3.1709975e-09
434,9.843417e-10
435,1.099664e-08
436,8.825828e-12
437,3.7667768e-11
438,5.591239e-06
439,2.7658724e-09
440,0.97499686
441,2.650849e-08
442,3.3124902e-08
443,4.4607899e-07
444,4.417812e-09
445,5.9324406e-11
446,1.603237e-08
447,5.451974e-08
448,0.8771693
449,1.6287946e-12
450,1.0169279e-12
451,1.7899536e-11
452,6.258816e-17
453,1.3503471e-15
454,1.8908996e-11
455,1.962342e-12
456,0.29418582
457,1.3758548e-10
458,5.7848334e-11
459,1.6494623e-09
460,5.941786e-14
461,4.0165957e-14
462,1.5538066e-12
463,1.8329194e-10
464,0.992652
465,1.4374077e-10
466,3.886036e-11
467,8.471632e-10
468,3.6974818e-14
469,2.9265577e-13
470,3.825185e-10
471,1.0585083e-10
472,0.57097614
473,4.033109e-06
474,1.2270739e-06
475,1.6052882e-05
476,3.4081696e-11
477,3.345351e-10
478,3.28285e-07
479,5.815875e-06
480,0.9968105
481,1.9366967e-08
482,4.2340553e-09
483,9.520216e-08
484,2.5600124e-11
485,9.335901e-12
486,3.4038077e-09
487,1.3131968e-08
488,0.491121
489,3.8760184e-12
490,4.668284e-13
491,2.943927e-11
492,3.724472e-17
493,4.0868381e-16
494,6.9125505e-14
495,2.964074e-12
