,date,lat,long,address,count,wnv,loc,utc,loc_coef,time_coef
0,2007-05-29,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.95469, long=-87.800991)",1180422000,,
1,2007-05-29,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.95469, long=-87.800991)",1180422000,,
2,2007-05-29,41.994991,-87.769279,"6200  N MANDELL AVE, Chicago, IL",1,0,"coordinate(lat=41.994991, long=-87.769279)",1180422000,,
3,2007-05-29,41.974089,-87.824812,"7900  W FOSTER AVE, Chicago, IL",1,0,"coordinate(lat=41.974089, long=-87.824812)",1180422000,,
4,2007-05-29,41.974089,-87.824812,"7900  W FOSTER AVE, Chicago, IL",4,0,"coordinate(lat=41.974089, long=-87.824812)",1180422000,,
5,2007-05-29,41.9216,-87.666455,"1500  W WEBSTER AVE, Chicago, IL",2,0,"coordinate(lat=41.9216, long=-87.666455)",1180422000,,
6,2007-05-29,41.891118,-87.65449100000001,"2500  W GRAND AVE, Chicago, IL",1,0,"coordinate(lat=41.891118, long=-87.65449100000001)",1180422000,,
7,2007-05-29,41.867108,-87.654224,"1100  W ROOSEVELT, Chicago, IL",1,0,"coordinate(lat=41.867108, long=-87.654224)",1180422000,,
8,2007-05-29,41.867108,-87.654224,"1100  W ROOSEVELT, Chicago, IL",2,0,"coordinate(lat=41.867108, long=-87.654224)",1180422000,,
9,2007-05-29,41.896282,-87.655232,"1100  W CHICAGO, Chicago, IL",1,0,"coordinate(lat=41.896282, long=-87.655232)",1180422000,,
10,2007-05-29,41.919343,-87.694259,"2100  N STAVE ST, Chicago, IL",1,0,"coordinate(lat=41.919343, long=-87.694259)",1180422000,,
11,2007-05-29,41.921965,-87.632085,"2200  N CANNON DR, Chicago, IL",2,0,"coordinate(lat=41.921965, long=-87.632085)",1180422000,,
12,2007-05-29,41.921965,-87.632085,"2200  N CANNON DR, Chicago, IL",3,0,"coordinate(lat=41.921965, long=-87.632085)",1180422000,,
13,2007-05-29,41.688324,-87.676709,"2200  W 113TH ST, Chicago, IL",1,0,"coordinate(lat=41.688324, long=-87.676709)",1180422000,,
14,2007-05-29,41.688324,-87.676709,"2200  W 113TH ST, Chicago, IL",1,0,"coordinate(lat=41.688324, long=-87.676709)",1180422000,,
15,2007-05-29,41.862292,-87.64886,"1100  S PEORIA ST, Chicago, IL",1,0,"coordinate(lat=41.862292, long=-87.64886)",1180422000,,
16,2007-05-29,41.720848,-87.666014,"1700  W 95TH ST, Chicago, IL",3,0,"coordinate(lat=41.720848, long=-87.666014)",1180422000,,
17,2007-05-29,41.731922,-87.677512,"2200  W 89TH ST, Chicago, IL",5,0,"coordinate(lat=41.731922, long=-87.677512)",1180422000,,
18,2007-05-29,41.731922,-87.677512,"2200  W 89TH ST, Chicago, IL",1,0,"coordinate(lat=41.731922, long=-87.677512)",1180422000,,
19,2007-05-29,41.891126,-87.61156,"5300  N STREETER DR, Chicago, IL",1,0,"coordinate(lat=41.891126, long=-87.61156)",1180422000,,
20,2007-05-29,41.891126,-87.61156,"5300  N STREETER DR, Chicago, IL",2,0,"coordinate(lat=41.891126, long=-87.61156)",1180422000,,
21,2007-05-29,41.999128999999996,-87.795585,"6500  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.999128999999996, long=-87.795585)",1180422000,,
22,2007-05-29,42.01743,-87.68776899999999,"7500  N OAKLEY AVE, Chicago, IL",1,0,"coordinate(lat=42.01743, long=-87.68776899999999)",1180422000,,
23,2007-05-29,41.907645,-87.760886,"1500  N LONG AVE, Chicago, IL",1,0,"coordinate(lat=41.907645, long=-87.760886)",1180422000,,
24,2007-05-29,41.732984,-87.649642,"8900  S CARPENTER ST, Chicago, IL",1,0,"coordinate(lat=41.732984, long=-87.649642)",1180422000,,
25,2007-06-05,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",3,0,"coordinate(lat=41.95469, long=-87.800991)",1181026800,,
26,2007-06-05,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",5,0,"coordinate(lat=41.95469, long=-87.800991)",1181026800,,
27,2007-06-05,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.95469, long=-87.800991)",1181026800,,
28,2007-06-05,41.974089,-87.824812,"7900  W FOSTER AVE, Chicago, IL",1,0,"coordinate(lat=41.974089, long=-87.824812)",1181026800,,
29,2007-06-05,41.974089,-87.824812,"7900  W FOSTER AVE, Chicago, IL",2,0,"coordinate(lat=41.974089, long=-87.824812)",1181026800,,
30,2007-06-05,41.9216,-87.666455,"1500  W WEBSTER AVE, Chicago, IL",1,0,"coordinate(lat=41.9216, long=-87.666455)",1181026800,,
31,2007-06-05,41.9216,-87.666455,"1500  W WEBSTER AVE, Chicago, IL",2,0,"coordinate(lat=41.9216, long=-87.666455)",1181026800,,
32,2007-06-05,41.9216,-87.666455,"1500  W WEBSTER AVE, Chicago, IL",1,0,"coordinate(lat=41.9216, long=-87.666455)",1181026800,,
33,2007-06-05,41.891118,-87.65449100000001,"2500  W GRAND AVE, Chicago, IL",1,0,"coordinate(lat=41.891118, long=-87.65449100000001)",1181026800,,
34,2007-06-05,41.867108,-87.654224,"1100  W ROOSEVELT, Chicago, IL",1,0,"coordinate(lat=41.867108, long=-87.654224)",1181026800,,
35,2007-06-05,41.867108,-87.654224,"1100  W ROOSEVELT, Chicago, IL",1,0,"coordinate(lat=41.867108, long=-87.654224)",1181026800,,
36,2007-06-05,41.867108,-87.654224,"1100  W ROOSEVELT, Chicago, IL",2,0,"coordinate(lat=41.867108, long=-87.654224)",1181026800,,
37,2007-06-05,41.896282,-87.655232,"1100  W CHICAGO, Chicago, IL",2,0,"coordinate(lat=41.896282, long=-87.655232)",1181026800,,
38,2007-06-05,41.919343,-87.694259,"2100  N STAVE ST, Chicago, IL",1,0,"coordinate(lat=41.919343, long=-87.694259)",1181026800,,
39,2007-06-05,41.919343,-87.694259,"2100  N STAVE ST, Chicago, IL",1,0,"coordinate(lat=41.919343, long=-87.694259)",1181026800,,
40,2007-06-05,41.921965,-87.632085,"2200  N CANNON DR, Chicago, IL",3,0,"coordinate(lat=41.921965, long=-87.632085)",1181026800,,
41,2007-06-05,41.688324,-87.676709,"2200  W 113TH ST, Chicago, IL",4,0,"coordinate(lat=41.688324, long=-87.676709)",1181026800,,
42,2007-06-05,41.720848,-87.666014,"1700  W 95TH ST, Chicago, IL",2,0,"coordinate(lat=41.720848, long=-87.666014)",1181026800,,
43,2007-06-05,41.731922,-87.677512,"2200  W 89TH ST, Chicago, IL",1,0,"coordinate(lat=41.731922, long=-87.677512)",1181026800,,
44,2007-06-05,41.731922,-87.677512,"2200  W 89TH ST, Chicago, IL",1,0,"coordinate(lat=41.731922, long=-87.677512)",1181026800,,
45,2007-06-05,41.731922,-87.677512,"2200  W 89TH ST, Chicago, IL",1,0,"coordinate(lat=41.731922, long=-87.677512)",1181026800,,
46,2007-06-05,41.999128999999996,-87.795585,"6500  N OAK PARK AVE, Chicago, IL",2,0,"coordinate(lat=41.999128999999996, long=-87.795585)",1181026800,,
47,2007-06-05,41.999128999999996,-87.795585,"6500  N OAK PARK AVE, Chicago, IL",9,0,"coordinate(lat=41.999128999999996, long=-87.795585)",1181026800,,
48,2007-06-05,41.907645,-87.760886,"1500  N LONG AVE, Chicago, IL",3,0,"coordinate(lat=41.907645, long=-87.760886)",1181026800,,
49,2007-06-05,41.732984,-87.649642,"8900  S CARPENTER ST, Chicago, IL",1,0,"coordinate(lat=41.732984, long=-87.649642)",1181026800,,
50,2007-06-05,41.981964000000005,-87.812827,"9100  W HIGGINS AVE, Chicago, IL",2,0,"coordinate(lat=41.981964000000005, long=-87.812827)",1181026800,,
51,2007-06-05,41.944869,-87.832763,"3600  N PITTSBURGH AVE, Chicago, IL",1,0,"coordinate(lat=41.944869, long=-87.832763)",1181026800,,
52,2007-06-05,42.011601,-87.81150600000001,"7200  N OKETO AVE, Chicago, IL",1,0,"coordinate(lat=42.011601, long=-87.81150600000001)",1181026800,,
53,2007-06-05,41.94983,-87.69845699999999,"3800  N CALIFORNIA AVE, Chicago, IL",1,0,"coordinate(lat=41.94983, long=-87.69845699999999)",1181026800,,
54,2007-06-05,41.979243,-87.750938,"4900  W BALMORAL AVE, Chicago, IL",1,0,"coordinate(lat=41.979243, long=-87.750938)",1181026800,,
55,2007-06-05,41.986921,-87.689778,"5800  N WESTERN AVE, Chicago, IL",2,0,"coordinate(lat=41.986921, long=-87.689778)",1181026800,,
56,2007-06-05,41.801497999999995,-87.763416,"5000  S CENTRAL AVE, Chicago, IL",1,0,"coordinate(lat=41.801497999999995, long=-87.763416)",1181026800,,
57,2007-06-05,41.906638,-87.701431,"1400  N HUMBOLDT DR, Chicago, IL",3,0,"coordinate(lat=41.906638, long=-87.701431)",1181026800,,
58,2007-06-05,41.723195000000004,-87.64997,"1000  S VINCENNES, Chicago, IL",1,0,"coordinate(lat=41.723195000000004, long=-87.64997)",1181026800,,
59,2007-06-05,41.868077,-87.666901,"1100  S ASHLAND AVE, Chicago, IL",1,0,"coordinate(lat=41.868077, long=-87.666901)",1181026800,,
60,2007-06-05,41.868077,-87.666901,"1100  S ASHLAND AVE, Chicago, IL",7,0,"coordinate(lat=41.868077, long=-87.666901)",1181026800,,
61,2007-06-05,41.869215999999994,-87.627561,"1100  S STATE ST, Chicago, IL",1,0,"coordinate(lat=41.869215999999994, long=-87.627561)",1181026800,,
62,2007-06-05,41.662014,-87.72460799999999,"4200  W 127TH PL, Chicago, IL",2,0,"coordinate(lat=41.662014, long=-87.72460799999999)",1181026800,,
63,2007-06-05,41.662014,-87.72460799999999,"4200  W 127TH PL, Chicago, IL",4,0,"coordinate(lat=41.662014, long=-87.72460799999999)",1181026800,,
64,2007-06-05,41.662014,-87.72460799999999,"4200  W 127TH PL, Chicago, IL",1,0,"coordinate(lat=41.662014, long=-87.72460799999999)",1181026800,,
65,2007-06-05,41.961743,-87.76007,"5300  W AGATITE AVE, Chicago, IL",1,0,"coordinate(lat=41.961743, long=-87.76007)",1181026800,,
66,2007-06-05,41.961743,-87.76007,"5300  W AGATITE AVE, Chicago, IL",2,0,"coordinate(lat=41.961743, long=-87.76007)",1181026800,,
67,2007-06-05,41.953067,-87.776792,"4000  N AUSTIN AVE, Chicago, IL",1,0,"coordinate(lat=41.953067, long=-87.776792)",1181026800,,
68,2007-06-05,41.953067,-87.776792,"4000  N AUSTIN AVE, Chicago, IL",3,0,"coordinate(lat=41.953067, long=-87.776792)",1181026800,,
69,2007-06-05,41.878114000000004,-87.629798,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",3,0,"coordinate(lat=41.878114000000004, long=-87.629798)",1181026800,,
70,2007-06-05,41.958271,-87.702575,"4200  N RICHMOND ST, Chicago, IL",1,0,"coordinate(lat=41.958271, long=-87.702575)",1181026800,,
71,2007-06-05,41.958271,-87.702575,"4200  N RICHMOND ST, Chicago, IL",2,0,"coordinate(lat=41.958271, long=-87.702575)",1181026800,,
72,2007-06-05,41.932094,-87.700117,"2800  N FRANCISCO AVE, Chicago, IL",1,0,"coordinate(lat=41.932094, long=-87.700117)",1181026800,,
73,2007-06-05,41.994469,-87.667736,"1500  W GRANVILLE AVE, Chicago, IL",1,0,"coordinate(lat=41.994469, long=-87.667736)",1181026800,,
74,2007-06-05,42.006858,-87.675919,"1800  W FARWELL AVE, Chicago, IL",2,0,"coordinate(lat=42.006858, long=-87.675919)",1181026800,,
75,2007-06-05,41.916265,-87.800515,"7000   W ARMITAGE AVENUE, Chicago, IL",1,0,"coordinate(lat=41.916265, long=-87.800515)",1181026800,,
76,2007-06-05,41.916265,-87.800515,"7000   W ARMITAGE AVENUE, Chicago, IL",10,0,"coordinate(lat=41.916265, long=-87.800515)",1181026800,,
77,2007-06-05,41.846075,-87.716277,"2500  S MILLARD AVE, Chicago, IL",1,0,"coordinate(lat=41.846075, long=-87.716277)",1181026800,,
78,2007-06-05,41.918704999999996,-87.752329,"2100  N LAWLER AVE, Chicago, IL",1,0,"coordinate(lat=41.918704999999996, long=-87.752329)",1181026800,,
79,2007-06-05,41.682587,-87.707973,"3500  W 116TH ST, Chicago, IL",3,0,"coordinate(lat=41.682587, long=-87.707973)",1181026800,,
80,2007-06-05,41.682587,-87.707973,"3500  W 116TH ST, Chicago, IL",8,0,"coordinate(lat=41.682587, long=-87.707973)",1181026800,,
81,2007-06-05,41.725516999999996,-87.61425799999999,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",1,0,"coordinate(lat=41.725516999999996, long=-87.61425799999999)",1181026800,,
82,2007-06-05,41.948167,-87.730698,"3700  N KEDVALE AVE, Chicago, IL",2,0,"coordinate(lat=41.948167, long=-87.730698)",1181026800,,
83,2007-06-05,41.948167,-87.730698,"3700  N KEDVALE AVE, Chicago, IL",1,0,"coordinate(lat=41.948167, long=-87.730698)",1181026800,,
84,2007-06-05,41.963976,-87.69181,"4500  N CAMPBELL AVE, Chicago, IL",1,0,"coordinate(lat=41.963976, long=-87.69181)",1181026800,,
85,2007-06-26,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.95469, long=-87.800991)",1182841200,,
86,2007-06-26,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",4,0,"coordinate(lat=41.95469, long=-87.800991)",1182841200,,
87,2007-06-26,41.95469,-87.800991,"4100  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.95469, long=-87.800991)",1182841200,,
88,2007-06-26,41.994991,-87.769279,"6200  N MANDELL AVE, Chicago, IL",1,0,"coordinate(lat=41.994991, long=-87.769279)",1182841200,,
89,2007-06-26,41.994991,-87.769279,"6200  N MANDELL AVE, Chicago, IL",4,0,"coordinate(lat=41.994991, long=-87.769279)",1182841200,,
90,2007-06-26,41.974089,-87.824812,"7900  W FOSTER AVE, Chicago, IL",1,0,"coordinate(lat=41.974089, long=-87.824812)",1182841200,,
91,2007-06-26,41.9216,-87.666455,"1500  W WEBSTER AVE, Chicago, IL",1,0,"coordinate(lat=41.9216, long=-87.666455)",1182841200,,
92,2007-06-26,41.9216,-87.666455,"1500  W WEBSTER AVE, Chicago, IL",1,0,"coordinate(lat=41.9216, long=-87.666455)",1182841200,,
93,2007-06-26,41.891118,-87.65449100000001,"2500  W GRAND AVE, Chicago, IL",1,0,"coordinate(lat=41.891118, long=-87.65449100000001)",1182841200,,
94,2007-06-26,41.891118,-87.65449100000001,"2500  W GRAND AVE, Chicago, IL",6,0,"coordinate(lat=41.891118, long=-87.65449100000001)",1182841200,,
95,2007-06-26,41.867108,-87.654224,"1100  W ROOSEVELT, Chicago, IL",2,0,"coordinate(lat=41.867108, long=-87.654224)",1182841200,,
96,2007-06-26,41.896282,-87.655232,"1100  W CHICAGO, Chicago, IL",1,0,"coordinate(lat=41.896282, long=-87.655232)",1182841200,,
97,2007-06-26,41.919343,-87.694259,"2100  N STAVE ST, Chicago, IL",1,0,"coordinate(lat=41.919343, long=-87.694259)",1182841200,,
98,2007-06-26,41.688324,-87.676709,"2200  W 113TH ST, Chicago, IL",1,0,"coordinate(lat=41.688324, long=-87.676709)",1182841200,,
99,2007-06-26,41.688324,-87.676709,"2200  W 113TH ST, Chicago, IL",1,0,"coordinate(lat=41.688324, long=-87.676709)",1182841200,,
100,2007-06-26,41.688324,-87.676709,"2200  W 113TH ST, Chicago, IL",2,0,"coordinate(lat=41.688324, long=-87.676709)",1182841200,,
101,2007-06-26,41.731922,-87.677512,"2200  W 89TH ST, Chicago, IL",5,0,"coordinate(lat=41.731922, long=-87.677512)",1182841200,,
102,2007-06-26,41.891126,-87.61156,"5300  N STREETER DR, Chicago, IL",1,0,"coordinate(lat=41.891126, long=-87.61156)",1182841200,,
103,2007-06-26,41.891126,-87.61156,"5300  N STREETER DR, Chicago, IL",1,0,"coordinate(lat=41.891126, long=-87.61156)",1182841200,,
104,2007-06-26,41.999128999999996,-87.795585,"6500  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.999128999999996, long=-87.795585)",1182841200,,
105,2007-06-26,41.999128999999996,-87.795585,"6500  N OAK PARK AVE, Chicago, IL",1,0,"coordinate(lat=41.999128999999996, long=-87.795585)",1182841200,,
106,2007-06-26,42.01743,-87.68776899999999,"7500  N OAKLEY AVE, Chicago, IL",2,0,"coordinate(lat=42.01743, long=-87.68776899999999)",1182841200,,
107,2007-06-26,42.01743,-87.68776899999999,"7500  N OAKLEY AVE, Chicago, IL",2,0,"coordinate(lat=42.01743, long=-87.68776899999999)",1182841200,,
